stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0,00000] opening C:\Users\User\Documents\GitHub\SnakeGame\Debug\allegro5.cfg r
system   D            wsystem.c:819  maybe_parent_dir                 [   0,00000] Also searching C:\Users\User\Documents\GitHub\SnakeGame\
system   D            wsystem.c:874  _al_win_safe_load_library        [   0,00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0,00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0,00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0,00000] Allegro version: 5.2.7
system   D            wsystem.c:819  maybe_parent_dir                 [   0,00066] Also searching C:\Users\User\Documents\GitHub\SnakeGame\
system   D            wsystem.c:874  _al_win_safe_load_library        [   0,00153] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0,00177] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:783  load_library_at_path             [   0,00817] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0,06771] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1782 d3d_create_display_locked        [   0,06888] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0,06906] al_display=01039270
d3d      D         d3d_disp.cpp:1784 d3d_create_display_locked        [   0,06924] al_display->vt=010213D0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0,07588] found 160 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0,07618] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,07638] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,07658] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,07683] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,07701] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,07722] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0,07744] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,07765] Score is : 721
